Title,Author,ISBN Valid,Publisher,Subjects,i
La Constitution de la République française : analyses et commentaires /,,2717801790; 9782717801798,Economica,"France.--""Constitution de 1958""; droit constitutionnel--France--[manuel]",8157
Aspects pénaux du droit du vivant /,,3719023052; 9783719023058; 2802720074; 9782802720072,Bruylant; Helbing & Lichtenhahn,droit à la vie--liberté individuelle--* droit pénal--Suisse--[études diverses]; droit à la vie--droit pénal--liberté individuelle--* droit comparé--Etats-Unis--France--[études diverses]; génie génétique--* droit pénal--Suisse--[études diverses]; droit pénal--génie génétique--* droit comparé--Etats-Unis--France--[études diverses]; Verfassungsrecht; persönliche Freiheit; Recht auf Leben; Garantie der Menschenwürde; künstliche Fortpflanzung; Gentechnologie; Mensch; Schwangerschaftsabbruch(Therapie); Transplantation; Euthanasie; gentechnisch veränderter Organismus; strafbare Handlung; Strafbarkeit; DNA-Profil; Rechtsvergleichung; Frankreich; USA; Deutschland; Spanien; Vereinigtes Königreich; Schweiz,8158
La responsabilité civile extracontractuelle /,"Müller, Christoph, juriste, 1969-",9783719032838; 3719032833,Helbing Lichtenhahn,Responsabilité civile; Droit; Haftung aus unerlaubter Handlung; Verschuldenshaftung; Kausalhaftung; Produktehaftung; Haftung des Fahrzeughalters; Suisse; Schweiz; [Manuels d'enseignement supérieur]; Grundlagenwerk,8159
Éléments pour une théorie suisse des droits fondamentaux /,"Müller, Jörg Paul, 1938-",3727294515; 9783727294518,Staempfli,droits fondamentaux--Suisse--[manuel]; Grundrecht; Schweiz,8160
Le consentement en droit /,,9783725587070; 3725587078,Schulthess éd romandes,Bewilligung oder Genehmigung(allgemein); Rechtsquelle; eheliche Gemeinschaft; Urteilsfähigkeit; Transsexualismus; künstliche Fortpflanzung; Operation; Medizin; Einzelarbeitsvertrag; Gewalt; Tod; Immaterialgüterrecht; Friedliche Regelung von Streitigkeiten; Schweiz,8161
Familles et professions de la santé : de la naissance à la mort /,,3719047482; 9783719047481,Institut de droit de la santé (IDS) Faculté de droit de l'Université de Neuchâtel; Helbing Lichtenhahn,Famille--Droit; Santé--Morale; Gesundheitsrecht; Medizin; Recht; Heilberuf; Gesundheitswesen; Medizinalberuf; Familie; Krankenpflege; Geburt; Kind; Jugendlicher; Erwachsener; Betagter; Berufsgeheimnis; Invalidität; Geisteskrankheit; Schweiz,8162
"L'homicide intentionnel : (étude des art. 111, 112, 113, 114 et 116 du Code pénal suisse) /","Disch, Stefan",,Imprivite; Université de Lausanne - Faculté de droit,culpabilité (droit)--homicide--Suisse; vorsätzliche Tötung; Mord; Totschlag; Tötung auf Verlangen; Kindestötung; Konkurrenz von Straftaten; Rechtsgeschichte; Rechtsvergleichung; Schweiz; Deutschland; Österreich; Frankreich,8163
Droit de la filiation /,"Meier, Philippe, juriste, 1966-",9783725586714; 3725586713,Schulthess Ed romandes,Kindesverhältnis; Droit civil; Famille; Filiation; Paternité; Adoption; Actions et défenses; Parents et enfants (droit); Changements de nom; Schweiz; Suisse; Grundlagenwerk; [Manuels d'enseignement supérieur],8164
Réflexions romandes en droit de la santé : mélanges offerts à la Société suisse des juristes par l'Institut de droit de la santé de l'Université de Neuchâtel à l'occasion de son congrès annuel 2016 /,,9783037518410; 3037518413,Dike,Gesundheitswesen; Santé publique--Droit--Suisse; Schweiz,8165
Introduction au droit des poursuites et des faillites /,"Peter, Hansjörg juriste 1962-....",9783727222603; 3727222603,Stämpfli Editions,Schuldbetreibungs- und Konkursrecht; Bundesgesetz über Schuldbetreibung und Konkurs; Schweiz; Lehrmittel,8166
Précis de droit européen /,"Maiani, Francesco, 1974-",9783727207372; 372720737X,Stämpfli,EU; Gemeinschaftsrecht; Grundlagenwerk,8167
Le courage d'être /,"Tillich, Paul",9782830915402; 2830915402,Labor et Fides,,8168
Un mal d'enfance : de la dépendance maternelle à l'infantilisme social /,"Pigozzi, Laura",9782749274959; 2749274958,érès,Infantilisme--Aspect social; Dépendance (psychologie); Parents et enfants,8169
Religion et mythologie des slaves païens /,"Lajoye, Patrice",9782251453125; 2251453121,Les Belles Lettres,Slaves--Religion; Mythologie slave,8170
Différence & souffrance de l'adulte surdoué /,"Bost, Cécile",9782311011098; 231101109X,Vuibert,Surdoués,8171
Surdoués : s'intégrer et s'épanouir dans le monde du travail /,"Bost, Cécile",2311621580; 9782311621587,Vuibert,Surdoués; Surdoués--Psychologie; Surdoués--Relations professionnelles,8172
Traversée des ombres /,"Pontalis, Jean-Bertrand 1924-2013",2070734781; 9782070734788,Gallimard,,8173
Les nouvelles figures de l'agir : penser et s'engager depuis le vivant /,"Benasayag, Miguel",9782348042164; 2348042169,Editions La Découverte,Philosophie de l'action; Militantisme; Société civile,8174
L'espèce humaine /,"Antelme, Robert 1917-1990",2070297799; 9782070297795,Gallimard,,8175
Asexualité : comprendre l'orientation invisible /,"Sondra Decker, Julie",9791097154783,Améthyste éditions,Identité sexuelle; Orientation sexuelle,8176
Tous HPI ? : comprendre et libérer les potentiels /,"Lourdel, Nathalie 1976-....",9782124658305; 2124658301,AFNOR,Hypersensibilité (psychologie); Surdoués; Questions et réponses,8177
L'artifice humain : pour une anthropologie négative /,"Anders, Günther",9791093250403,Eterotopia France,Technique et morale; Philosophie de l'homme,8178
Cuisine du quotidien : pour étudiantes & étudiants : 60 recettes végétariennes pour petits budgets /,"Djeddi, Lila, 19..-.....",9791030104585,Tana éditions,Cuisine économique; Alimentation.; Cuisine végétarienne.,8179
Zicatazouère : les petits pois verts ! /,"Tonti, Mireille",9782940589340; 2940589348,Editions uTopie,Contes; Alimentation; Nouvelles fantastiques,8180
Orchidées contre béton armé : mémoires de la ZAD de la Colline /,,9782829006661; 2829006666,Editions d'en bas,"Capitalisme--Lutte contre--Mormont (Suisse, mont, VD); Pollution--Lutte contre--Mormont (Suisse, mont, VD); Zones à défendre--Mormont (Suisse, mont, VD); Environnement--Protection--Participation des citoyens--Mormont (Suisse, mont, VD); Zones à défendre--Vaud (Suisse); Désobéissance civile--Vaud (Suisse); Participation sociale--Vaud (Suisse)",8181
Charlotte : roman /,"Foenkinos, David",9782070145683; 2070145689,Gallimard,,8182
"Par-delà les frontières du corps : repenser, refaire et revendiquer le corps dans le capitalisme tardif /","Federici, Silvia",9791097088248; 2890917282; 9782890917286,Editions Divergences,Corps humain--Aspect politique.; Corps humain--Aspect social.; Capitalisme.; Féminisme.,8183
Les hirondelles de Kaboul : roman /,"Khadra, Yasmina",2260015964; 9782260015963,Julliard,,8184
La honte est un sentiment révolutionnaire /,"Gros, Frédéric",9782226445797; 222644579X,Albin Michel,Honte,8185
"Grammaire espagnole en 10 leçons : [classes préparatoires, universités] /","Azzopardi, Sophie",9782340013285; 2340013283,Ellipses,Espagnol (langue)--Grammaire--Manuels pour locuteurs du français,8186
Capital et race : histoire d'une hydre moderne /,"Laurent, Sylvie 1974-....",2021498883; 9782021498882,Éditions du Seuil,Racisme; Idées politiques--Histoire; Colonialisme (idée politique); Capitalisme--Etats-Unis; Discrimination raciale--Etats-Unis; Capitalism--Social aspects--United States.; Capitalism--United States--History.; Racism--Economic aspects--United States.; Racism--United States--History.; Imperialism--Social aspects--United States.; Capitalisme--Aspect social--États-Unis.; Capitalisme--États-Unis--Histoire.; Racisme--Aspect économique--États-Unis.; Racisme--États-Unis--Histoire.; Impérialisme--Aspect social--États-Unis.,8187
Vieux Kapiten /,"Danquigny, Danü, 1975-",9782073049841; 2073049842,Gallimard,,8188
"Moi aussi : MeToo, au-delà du hashtag /",,9782709671200; 2709671204,JC Lattès,Mouvements de lutte contre les violences sexistes et sexuelles; Féminisme--2000-....; Récits personnels,8189
L'Héritage /,"Paolini, Christopher",9791036313691; 2747021068; 9782747021067; 9782747033343; 2747033341; 9782747014403; 2747014401; 9791036363597; 9791036313714; 9782747014557; 274701455X; 9782747021197; 274702119X; 9791036363603; 9782747029612; 2747029611; 9791036313707; 9782747014564; 274,Bayard Jeunesse,Exclusion sociale; Dragons; Roman pour la jeunesse,8190
Le droit du bail en 400 questions /,"Ansermet, Jacques juriste 19..-....",,Propriétaires Services SA une entité de la Chambre vaudoise immobilière,Baux--Droit; Miete; Schweiz,8191
"Flavour : plus de légumes, plus de saveurs /","Ottolenghi, Yotam",9782019453398; 2019453398,Hachette cuisine,Cuisine,8192
Plenty more : 120 nouvelles recettes végétariennes /,"Ottolenghi, Yotam",9782011776075; 2011776074,Hachette Pratique,Cuisine végétarienne,8193
Manuel pour guérir d'un traumatisme avec l'EMDR /,"Drozdowski, Eva",9782416005435; 241600543X,Éditions Eyrolles,Traumatisme--Thérapeutique.; EMDR.; Réalisation de soi.; Guides pratiques.,8194
Ce que nous sommes /,"Zep, 1967-",9782810204984; 2810204985,Rue de Sèvres,Science-fiction; Intelligence artificielle; Bandes dessinées,8195
60 minutes pour arrêter de procrastiner /,"Martin, Christian formateur 1952-....",9791039703338,Gereso Editions,Procrastination; Guides pratiques,8196
Migration : voix de femmes : 10 récits de vie /,"Kaenel, Nicole von",9782839935166; 2839935163,Association Belles Pages,Immigrées--Suisse--20e siècle; Migration--Femmes--Histoires de vie; Récits personnels,8197
"Au nom des Noirs : États-Unis, 1964 : au cœur du mouvement pour les droits civiques : récit /","Warren, Robert Penn",9782749172941; 2749172942,Le Cherche Midi,Noirs américains--Ségrégation--1965-....; Mouvements des droits civiques--Etats-Unis--1965-....; Entretiens,8198
L'assiette anti-inflammatoire : guide pratique et recettes saines pour prévenir les inflammations /,"Naud, Sybille",9782019453695; 201945369X,Hachette,Inflammation--Aspect nutritionnel; Inflammation--Prévention; Cuisine,8199
Rassemblez-vous en mon nom : roman /,"Angelou, Maya",9782882506443; 2882506449,Noir sur Blanc,,8200
Les douleurs fantômes : roman /,"Da Costa, Mélissa",2226461299; 9782226461292,Albin Michel,Roman français; Roman,8201
Le Cervin est-il africain ? : une histoire géologique entre les Alpes et notre planète /,"Marthaler, Michel",2606008898; 9782606008895,Ed LEP Loisirs et Pédagogie,Alpes (chaîne)--* géologie,8202
Décolonisons-nous /,"Lao, Frank",9782709670753; 2709670755,Editions JC Lattès,Colonisation--Sociologie--2000-....; Décolonisation--Sociologie--2000-....; Ségrégation--Sociologie--2000-....; Violence policière--Sociologie--2000-....; Inégalité sociale--Sociologie--2000-....,8203
The Cambridge history of medieval monasticism in the Latin West /,,1107042119; 9781107042117; 1107042097; 9781107042094; 1107042100; 9781107042100,Cambridge University Press,"30-1500; Monastères--Europe--Moyen âge; Ordres monastiques et religieux--Europe--Moyen âge; Monasticism and religious orders--Early church; Monasticism and religious orders--Middle Ages; Monasticism and religious orders--History--Middle Ages, 600-1500; Monasticism and religious orders--History--Early church, ca. 30-600; History",8204
L'Ordre de Cluny : (909-1789) /,"Pacaut, Marcel",2213017123; 9782213017129,A Fayard,Ordre de Cluny--909 / 1789; réforme religieuse--vie consacrée--Ordre de Cluny--909 / 1789,8205
Prémontrés: histoire et spiritualité /,"Ardura, Bernard",2862720739; 9782862720739,Université de Saint-Etienne,Prémontrés; spiritualité--Prémontrés,8206
Le monachisme clunisien des origines au XVe siècle : vie intérieure des monastères et organisation de l'ordre /,"Valous, Guy de",,A et J Picard,Ordre de Cluny--origines / 15e s.; abbaye--Bénédictins--Cluny (France)--origines / 15e s.,8207
Rougemont : 9e centenaire : 1080-1980 : choix de textes,,,Bibliothèque historique vaudoise,"Rougemont (Suisse, VD)--1080 / 1980--[études diverses]",8208
L'ours : histoire d'un roi déchu /,"Pastoureau, Michel",9782020215428; 202021542X,Ed du Seuil,ours--Europe--Antiquité / 20e s.,8209
"Les inégalités scolaires en Suisse : école, société et politiques éducatives /",,9783034315920; 3034315929,Peter Lang,Démocratisation de l'enseignement; Inégalité sociale; Réussite scolaire; Systèmes d'enseignement; Politique publique; Suisse; [Actes de congrès],8210
Walter enquête à la bibliothèque = Walter's library mystery /,"Blanchut, Fabienne",9782733861271; 2733861271,Lire demain,Kamishibaï,8211
Vivre les maths CE1 : [Fichier pour les élèves DYS] /,,2091244201; 9782091244204,Nathan,Mathématiques; Besoins éducatifs particuliers; Manuels d'enseignement primaire,8212
Phonologie Vocabulaire : PS-MS-GS-Début CP /,"Breugghe, Lucie",9782401061583; 2401061584,Hatier,Phonologie--Étude et enseignement (primaire); Vocabulaire--Étude et enseignement (primaire); Activités d'éveil--Étude et enseignement (primaire),8213
Imagier : 240 cartes à découper : maternelle et CP /,"Cèbe, Sylvie",9782218749247; 2218749246,Hatier,,8214
Phono GS et début de CP : développer les compétences phonologiques /,,9782401044739; 2401044736,Hatier,Français (langue)--Étude et enseignement (primaire); Phonologie--Méthodologie,8215
"Catégo PS, MS, GS, ASH : comprendre les catégories, apprendre à catégoriser /",,9782401044746; 2401044744,Hatier,Catégorisation (psychologie) chez l'enfant; Enfants--Langage; Français (langue)--Phonologie--Étude et enseignement (primaire); Cycle des apprentissages premiers; Problèmes et exercices,8216
Correspondance : 1927-1969 /,"Adorno, Theodor Wiesengrund",9782252040256; 2252040254,Klincksieck,"Adorno, Theodor Wiesengrund--(1903-1969)--Correspondance; Horkheimer, Max--(1895-1973)--Correspondance; Sociologie--Allemagne",8217
Musique de cinéma : essai /,"Adorno, Theodor Wiesengrund",2851811487; 9782851811486,L'Arche,musique de film,8218
"Tigre, tigre! /","Fragoso, Margaux, 1979-",9782081245600; 2081245604,Flammarion,Abus sexuels à l'égard des enfants; Pédophilie; Adolescentes; Relations amoureuses intergénérationnelles; [Roman],8219
Animal farm = La ferme des animaux /,"Orwell, George",9782070387809; 2070387801,Gallimard,,8220
Aucun de nous ne reviendra /,"Delbo, Charlotte",2707302902; 9782707302908,Les Editions de Minuit,camp de concentration--femme--Auschwitz (Pologne)--[document],8221
Au vent mauvais : roman /,"Adimi, Kaouther",9782021503562; 2021503569,Seuil,,8222
Le portable /,"Wojcik, Christophe 1968-....",2350878732; 9782350878737,Éditions Héloïse d'Ormesson,,8223
Die schwarze Spinne,"Gotthelf, Jeremias, 1797-1854",9788853004079; 885300407X,Cideb,Allemand (langue)--Lecture; allemand (langue)--langue étrangère--lecture - compréhension--[manuel]--[multimédia]; Ouvrages pour la jeunesse,8224
Le voyage au Maroc /,"Staël, Nicolas de 1914-1955",9782363083494; 2363083490,Arléa,"Staël, Nicolas de; Récits de voyages; Maroc--Année 1936; Maroc--Année 1937",8225
Les théories en études de genre /,"Lépinard, Eléonore",9782348046223; 2348046229,La Découverte,Études sur le genre; Identité sexuelle,8226
Mythes et identité de la Suisse /,"Reszler, André",2825701416; 9782825701416,Georg,Légendes et histoire--Suisse; Identité collective--Suisse; mythe--société (milieu humain)--Suisse; identité nationale--Suisse,8227
